Year,Site,,Altitude (m),clouded leopards
1977,Langtang,,,1
1987,Janakpur,,,2
1988,Nawalparasi,,,1
1988,Pokhara,,900,1
1994,Tribhuvan International Airport,,,3
1996,Baghbazar,,,3
2001,"Dillibazar, Kathmandu",,"1,315",1
2002,"Jorpati, Kathmandu",,"1,344",1
2007,"Dhamaura, Chitwan",,229,1
2007,Ulu Segama,,,11
2007,Ulu Segama,,,10
2008,Malua,,,6
2009,Malua,,,6
2010,Temengor Forest Reserve,,,120
2010,Shivapuri Nagarjuna National Park,,"1,985",1
2010,Tabin,,,9
2010,Kinabatangan,,,5
2010,Tabin,,,8
2010,Kinabatangan,,,5
2010,Asia,,,58
2010,Sumatra,,,31
2010,Borneo,,,15
2010,Sumatra,,,16
2011,Taman Negara National Park,,,40
2011,Royal Belum State Park,,,116
2011,Danum Valley,,,22
2011,Ulu Segama,,,104
2011,Malua,,,10
2011,Tabin,,,41
2011,Kinabatangan,,,14
2011,Sepilok,,,0
2011,Kabili–Sepilok,,,0
2012,Primary Linkage 7 (eastern block),,,59
2012,Annapurna Conservation Area,,"2,274",1
2012,Danum Valley,,,9
2012,Crocker,,,8
2012,Danum Valley,,,8
2012,Crocker,,,6
2013,Primary Linkage 7 (western block),,,14
2013,Primary Linkage 8,,,70
2013,Pasoh Forest Reserve,,,1
2013,Primary Linkage 7 (western block),,,46
2013,Chitwan,,301,3
2013,Tawau,,,12
2013,Tawau,,,10
2014,Langtang NP,,,1
2015,Ulu Muda Forest Reserve,,,11
2015,North East India,,,84
2015,Myanmar,,,49
2015,Deramakot Forest Reserve,,,11
2015,Tangkulap-Sungai Talibu Forest Reserve,,,5
2015,Deramakot Forest Reserve,,,13
2016,Myanmar,,,54
2016,Northern Kuamut Forest Reserve,,,8
2016,Tangkulap-Sungai Talibu Forest Reserve,,,8
2016,Northern Kuamut Forest Reserve,,,8
,,,,20.73214286
