Year,Site,,,Snow Leopards
2003,Ladakh,,,66
2004,Ladakh,,,49
2009,Tost Mountains,,,12
2010,Tost Mountains,,,15
2011,Tost Mountains,,,12
2012,Tost Mountains,,,15
2012,Russia,,,53
2012,Tsagan-Shibetu,,,21
2012,Altay,,,14
2012,SSBR,,,7
2012,Buryatia,,,11
2013, Qilianshan National Nature Reserve,,,14
2013, Qilianshan National Nature Reserve,,,10
2013, Qilianshan National Nature Reserve,,,10
2014, Qilianshan National Nature Reserve,,,15
2014, Qilianshan National Nature Reserve,,,13
2014, Qilianshan National Nature Reserve,,,11
2015,Kazakhstan,,,105
2015,Kyrgyzstan,,,325
2015,Russia,,,90
2015,Tajikistan,,,265
2015,Uzbekistan,,,50
2015,Mongolia,,,16
2015,Kyrgyzstan,,,13
2016,India,,,25
2016,India,,,13
2017,China,,,225
2017,Mongolia,,,110
2017,India,,,550
2017,Pakistan,,,225
2017,Bhutan,,,150
2017,Afghanistan,,,125
2017,Nepal,,,350
2017,India,,,15
2017,India,,,12
2018,India,,,23
2018,India,,,18
2019,Kibber Wildlife range,,,26
2019,Pin valley national park,,,26
2019,Tabo Wildlife range,,,3
2019,India,,,24
,,,,76.3902439
